ID file_name x_pos z_pos brush_orien young density root_radius radii_diff 
205 'Exp_60_35_C001H001S0001' 30.6 83.5 1.570796325 1600000.0 1700.0 0.001 0.0005
206 'Exp_60_35_C001H001S0001' 30.6 83.5 1.570796325 3800000.0 1700.0 0.001 0.0005
207 'Exp_60_35_C001H001S0001' 30.6 83.5 1.570796325 2700000.0 1100 0.001 0.0005
208 'Exp_60_35_C001H001S0001' 30.6 83.5 1.570796325 2700000.0 2300 0.001 0.0005
209 'Exp_60_35_C001H001S0001' 30.6 83.5 1.570796325 2700000.0 1700.0 0.0009 0.0006
210 'Exp_60_35_C001H001S0001' 30.6 83.5 1.570796325 2700000.0 1700.0 0.0011 0.0004
211 'Exp_60_36_C001H001S0001' 30.6 83.5 1.570796325 2700000.0 1700.0 0.001 0.0005
212 'Exp_60_36_C001H001S0001' 30.6 83.5 1.570796325 1600000.0 1700.0 0.001 0.0005
213 'Exp_60_36_C001H001S0001' 30.6 83.5 1.570796325 3800000.0 1700.0 0.001 0.0005
214 'Exp_60_36_C001H001S0001' 30.6 83.5 1.570796325 2700000.0 1100 0.001 0.0005
215 'Exp_60_36_C001H001S0001' 30.6 83.5 1.570796325 2700000.0 2300 0.001 0.0005
216 'Exp_60_36_C001H001S0001' 30.6 83.5 1.570796325 2700000.0 1700.0 0.0009 0.0006
217 'Exp_60_36_C001H001S0001' 30.6 83.5 1.570796325 2700000.0 1700.0 0.0011 0.0004
218 'Exp_60_37_C001H001S0001' 39.3 73.5 1.570796325 2700000.0 1700.0 0.001 0.0005
219 'Exp_60_37_C001H001S0001' 39.3 73.5 1.570796325 1600000.0 1700.0 0.001 0.0005
220 'Exp_60_37_C001H001S0001' 39.3 73.5 1.570796325 3800000.0 1700.0 0.001 0.0005
221 'Exp_60_37_C001H001S0001' 39.3 73.5 1.570796325 2700000.0 1100 0.001 0.0005
222 'Exp_60_37_C001H001S0001' 39.3 73.5 1.570796325 2700000.0 2300 0.001 0.0005
223 'Exp_60_37_C001H001S0001' 39.3 73.5 1.570796325 2700000.0 1700.0 0.0009 0.0006
224 'Exp_60_37_C001H001S0001' 39.3 73.5 1.570796325 2700000.0 1700.0 0.0011 0.0004
