ID file_name x_pos z_pos brush_orien young density root_radius radii_diff 
97 'Exp_60_19_C001H001S0001' 37.1 73.0 0.0 2700000.0 1700.0 0.0009 0.0006
98 'Exp_60_19_C001H001S0001' 37.1 73.0 0.0 2700000.0 1700.0 0.0011 0.0004
99 'Exp_60_20_C001H001S0001' 35.1 73.0 0.0 2700000.0 1700.0 0.001 0.0005
100 'Exp_60_20_C001H001S0001' 35.1 73.0 0.0 1600000.0 1700.0 0.001 0.0005
101 'Exp_60_20_C001H001S0001' 35.1 73.0 0.0 3800000.0 1700.0 0.001 0.0005
102 'Exp_60_20_C001H001S0001' 35.1 73.0 0.0 2700000.0 1100 0.001 0.0005
103 'Exp_60_20_C001H001S0001' 35.1 73.0 0.0 2700000.0 2300 0.001 0.0005
104 'Exp_60_20_C001H001S0001' 35.1 73.0 0.0 2700000.0 1700.0 0.0009 0.0006
105 'Exp_60_20_C001H001S0001' 35.1 73.0 0.0 2700000.0 1700.0 0.0011 0.0004
106 'Exp_60_21_C001H001S0001' 35.1 73.0 0.0 2700000.0 1700.0 0.001 0.0005
107 'Exp_60_21_C001H001S0001' 35.1 73.0 0.0 1600000.0 1700.0 0.001 0.0005
108 'Exp_60_21_C001H001S0001' 35.1 73.0 0.0 3800000.0 1700.0 0.001 0.0005
109 'Exp_60_21_C001H001S0001' 35.1 73.0 0.0 2700000.0 1100 0.001 0.0005
110 'Exp_60_21_C001H001S0001' 35.1 73.0 0.0 2700000.0 2300 0.001 0.0005
111 'Exp_60_21_C001H001S0001' 35.1 73.0 0.0 2700000.0 1700.0 0.0009 0.0006
112 'Exp_60_21_C001H001S0001' 35.1 73.0 0.0 2700000.0 1700.0 0.0011 0.0004
113 'Exp_60_22_C001H001S0001' 33.1 73.0 0.0 2700000.0 1700.0 0.001 0.0005
114 'Exp_60_22_C001H001S0001' 33.1 73.0 0.0 1600000.0 1700.0 0.001 0.0005
115 'Exp_60_22_C001H001S0001' 33.1 73.0 0.0 3800000.0 1700.0 0.001 0.0005
116 'Exp_60_22_C001H001S0001' 33.1 73.0 0.0 2700000.0 1100 0.001 0.0005
117 'Exp_60_22_C001H001S0001' 33.1 73.0 0.0 2700000.0 2300 0.001 0.0005
118 'Exp_60_22_C001H001S0001' 33.1 73.0 0.0 2700000.0 1700.0 0.0009 0.0006
119 'Exp_60_22_C001H001S0001' 33.1 73.0 0.0 2700000.0 1700.0 0.0011 0.0004
120 'Exp_60_23_C001H001S0001' 33.1 73.0 0.0 2700000.0 1700.0 0.001 0.0005
121 'Exp_60_23_C001H001S0001' 33.1 73.0 0.0 1600000.0 1700.0 0.001 0.0005
122 'Exp_60_23_C001H001S0001' 33.1 73.0 0.0 3800000.0 1700.0 0.001 0.0005
123 'Exp_60_23_C001H001S0001' 33.1 73.0 0.0 2700000.0 1100 0.001 0.0005
124 'Exp_60_23_C001H001S0001' 33.1 73.0 0.0 2700000.0 2300 0.001 0.0005
125 'Exp_60_23_C001H001S0001' 33.1 73.0 0.0 2700000.0 1700.0 0.0009 0.0006
126 'Exp_60_23_C001H001S0001' 33.1 73.0 0.0 2700000.0 1700.0 0.0011 0.0004
127 'Exp_60_24_C001H001S0001' 31.1 73.0 0.0 2700000.0 1700.0 0.001 0.0005
128 'Exp_60_24_C001H001S0001' 31.1 73.0 0.0 1600000.0 1700.0 0.001 0.0005
