ID,file_name,x_pos,z_pos,brush_orien
1,'Exp_60_01_C001H001S0001',41.1,80,0
2,'Exp_60_02_C001H001S0001',41.1,80,0
3,'Exp_60_03_C001H001S0001',39.1,80,0
4,'Exp_60_04_C001H001S0001',39.1,80,0
5,'Exp_60_05_C001H001S0001',37.1,80,0
6,'Exp_60_06_C001H001S0001',37.1,80,0
7,'Exp_60_07_C001H001S0001',35.1,80,0
8,'Exp_60_08_C001H001S0001',35.1,80,0
9,'Exp_60_09_C001H001S0001',33.1,80,0
10,'Exp_60_10_C001H001S0001',33.1,80,0
11,'Exp_60_16_C001H001S0001',39.1,73,0
12,'Exp_60_17_C001H001S0001',39.1,73,0
13,'Exp_60_18_C001H001S0001',37.1,73,0
14,'Exp_60_19_C001H001S0001',37.1,73,0
15,'Exp_60_20_C001H001S0001',35.1,73,0
16,'Exp_60_21_C001H001S0001',35.1,73,0
17,'Exp_60_22_C001H001S0001',33.1,73,0
18,'Exp_60_23_C001H001S0001',33.1,73,0
19,'Exp_60_24_C001H001S0001',31.1,73,0
20,'Exp_60_25_C001H001S0001',38.6,83.5,1.570796325
21,'Exp_60_26_C001H001S0001',38.6,83.5,1.570796325
22,'Exp_60_27_C001H001S0001',36.6,83.5,1.570796325
23,'Exp_60_28_C001H001S0001',36.6,83.5,1.570796325
24,'Exp_60_29_C001H001S0001',36.6,83.5,1.570796325
25,'Exp_60_30_C001H001S0001',34.6,83.5,1.570796325
26,'Exp_60_31_C001H001S0001',34.6,83.5,1.570796325
27,'Exp_60_32_C001H001S0001',34.6,83.5,1.570796325
28,'Exp_60_33_C001H001S0001',32.6,83.5,1.570796325
29,'Exp_60_34_C001H001S0001',32.6,83.5,1.570796325
30,'Exp_60_35_C001H001S0001',30.6,83.5,1.570796325
31,'Exp_60_36_C001H001S0001',30.6,83.5,1.570796325
32,'Exp_60_37_C001H001S0001',39.3,73.5,1.570796325
33,'Exp_60_38_C001H001S0001',39.3,73.5,1.570796325
34,'Exp_60_39_C001H001S0001',37.3,73.5,1.570796325
35,'Exp_60_40_C001H001S0001',37.3,73.5,1.570796325
36,'Exp_60_41_C001H001S0001',37.3,73.5,1.570796325
37,'Exp_60_42_C001H001S0001',35.3,73.5,1.570796325
38,'Exp_60_43_C001H001S0001',35.3,73.5,1.570796325
39,'Exp_60_44_C001H001S0001',35.3,73.5,1.570796325
40,'Exp_60_45_C001H001S0001',33.3,73.5,1.570796325
41,'Exp_60_46_C001H001S0001',33.3,73.5,1.570796325
42,'Exp_60_47_C001H001S0001',33.3,73.5,1.570796325
43,'Exp_60_48_C001H001S0001',31.3,73.5,1.570796325
44,'Exp_60_49_C001H001S0001',31.3,73.5,1.570796325
45,'Exp_60_50_C001H001S0001',31.3,73.5,1.570796325
46,'Exp_60_51_C001H001S0001',39.6,63.5,1.570796325
47,'Exp_60_52_C001H001S0001',39.6,63.5,1.570796325
48,'Exp_60_53_C001H001S0001',39.6,63.5,1.570796325
49,'Exp_60_54_C001H001S0001',37.6,63.5,1.570796325
50,'Exp_60_55_C001H001S0001',37.6,63.5,1.570796325
51,'Exp_60_56_C001H001S0001',37.6,63.5,1.570796325
52,'Exp_60_57_C001H001S0001',35.6,63.5,1.570796325
53,'Exp_60_58_C001H001S0001',35.6,63.5,1.570796325
54,'Exp_60_59_C001H001S0001',35.6,63.5,1.570796325
55,'Exp_60_60_C001H001S0001',33.6,63.5,1.570796325
56,'Exp_60_61_C001H001S0001',33.6,63.5,1.570796325
57,'Exp_60_62_C001H001S0001',33.6,63.5,1.570796325
58,'Exp_60_63_C001H001S0001',31.6,63.5,1.570796325
59,'Exp_60_64_C001H001S0001',31.6,63.5,1.570796325
60,'Exp_60_65_C001H001S0001',31.6,63.5,1.570796325
